Gospić	Gospić
Nova Gradiška	Nova Gradiška
Biograd na Moru	Biograd na Moru
Šibenik	Šibenik
Orahovica	Orahovica
Petrinja	Petrinja
Karlovac	Karlovac
Slatina	Slatina
Dubrovnik	Dubrovnik
Opatija	Opatija
Poreč	Poreč
Ivanić-Grad	Ivanić-Grad
Virovitica	Virovitica
Zabok	Zabok
Zagreb	Zagreb
Split	Split
Pregrada	Pregrada
Krapina	Krapina
Pula	Pula
Koprivnica	Koprivnica
Rijeka	Rijeka
Križevci	Križevci
Đakovo	Đakovo
Bjelovar	Bjelovar
Zaprešić	Zaprešić
Đurđevac	Đurđevac
Osijek	Osijek
Pakrac	Pakrac
Vinkovci	Vinkovci
Kutina	Kutina
Slavonski Brod	Slavonski Brod
Velika Gorica	Velika Gorica
Vukovar	Vukovar
Makarska	Makarska
Varaždin	Varaždin
Otočac	Otočac
Sisak	Sisak
Knin	Knin
Ploče	Ploče
Čakovec	Čakovec
Pazin	Pazin
Zadar	Zadar
Požega	Požega
